shipment_id,order_id,supplier_id,warehouse_id,product_id,ship_date,promised_delivery_date,actual_delivery_date,delay_days,is_delayed,delay_reason,carrier,shipment_status,stockout_flag,warehouse_overload_flag
SHP-000001,ORD-000001,SUP-008,WH-001,PRD-0078,2025-03-05,2025-03-13,2025-03-14,1.0,True,carrier_delay,DHL Freight,delivered,False,True
SHP-000002,ORD-000002,SUP-011,WH-002,PRD-0051,2025-08-30,2025-09-07,2025-09-05,-2.0,False,,Kuehne+Nagel,delivered,False,False
SHP-000003,ORD-000003,SUP-016,WH-002,PRD-0008,2025-06-29,2025-07-15,2025-07-13,-2.0,False,,DB Schenker,delivered,False,False
SHP-000004,ORD-000004,SUP-008,WH-003,PRD-0073,2025-10-06,2025-10-16,2025-10-20,4.0,True,supplier_late_dispatch,DPD,delivered,True,False
SHP-000005,ORD-000005,SUP-009,WH-004,PRD-0055,2025-07-28,2025-08-04,2025-08-04,0.0,False,,Kuehne+Nagel,delivered,False,False
SHP-000006,ORD-000006,SUP-013,WH-002,PRD-0127,2025-07-19,2025-07-26,2025-07-26,0.0,False,,DB Schenker,delivered,False,False
SHP-000007,ORD-000007,SUP-006,WH-008,PRD-0004,2025-12-11,2025-12-16,2025-12-17,1.0,True,,Kuehne+Nagel,delivered,False,True
SHP-000008,ORD-000008,SUP-011,WH-006,PRD-0051,2025-07-28,2025-08-04,2025-08-04,0.0,False,,DPD,delivered,False,False
SHP-000009,ORD-000009,SUP-010,WH-007,PRD-0171,2025-02-28,2025-03-02,2025-02-28,-2.0,False,,UPS,delivered,False,True
SHP-000010,ORD-000010,SUP-019,WH-006,PRD-0174,2025-03-23,2025-03-26,2025-03-26,0.0,False,,UPS,delivered,True,False
SHP-000011,ORD-000011,SUP-022,WH-006,PRD-0067,2025-10-06,2025-10-12,2025-10-12,0.0,False,,DB Schenker,delivered,False,False
SHP-000012,ORD-000012,SUP-014,WH-007,PRD-0126,2025-03-11,2025-03-14,2025-03-14,0.0,False,,UPS,delivered,False,False
SHP-000013,ORD-000013,SUP-016,WH-007,PRD-0015,2025-05-29,2025-06-09,2025-06-10,1.0,True,,DHL Freight,delivered,False,False
