shipment_id,order_id,order_date,ship_date,promised_delivery_date,actual_delivery_date,supplier_id,supplier_name,supplier_reliability_score,warehouse_id,warehouse_name,warehouse_overload_flag,product_id,category,customer_region,order_quantity,priority,shipment_status,stockout_flag,delay_days,is_delayed,delay_reason
SHP-000001,ORD-000001,2025-03-02,2025-03-05,2025-03-13,2025-03-14,SUP-008,Hanseatic Materials,0.604,WH-001,Berlin Distribution Center,True,PRD-0078,Textiles,DE-East,82,standard,delivered,False,1,True,carrier_delay
SHP-000002,ORD-000002,2025-08-29,2025-08-30,2025-09-07,2025-09-05,SUP-011,Saxon Metals,0.611,WH-002,Hamburg Distribution Center,False,PRD-0051,Electronics,DE-South,69,standard,delivered,False,-2,False,
SHP-000003,ORD-000003,2025-06-28,2025-06-29,2025-07-15,2025-07-13,SUP-016,Nordic Freight Supplies,0.901,WH-002,Hamburg Distribution Center,False,PRD-0008,Raw Materials,DE-Central,457,standard,delivered,False,-2,False,
SHP-000004,ORD-000004,2025-10-03,2025-10-06,2025-10-16,2025-10-20,SUP-008,Hanseatic Materials,0.604,WH-003,Munich Distribution Center,False,PRD-0073,Packaging,DE-West,252,expedited,delivered,True,4,True,supplier_late_dispatch
SHP-000005,ORD-000005,2025-07-28,2025-07-28,2025-08-04,2025-08-04,SUP-009,Ruhr Mechanical,0.965,WH-004,Cologne Distribution Center,False,PRD-0055,Electronics,DE-North,85,standard,delivered,False,0,False,
SHP-000006,ORD-000006,2025-07-17,2025-07-19,2025-07-26,2025-07-26,SUP-013,Rhine Components,0.887,WH-002,Hamburg Distribution Center,False,PRD-0127,Raw Materials,DE-East,327,expedited,delivered,False,0,False,
SHP-000007,ORD-000007,2025-12-11,2025-12-11,2025-12-16,2025-12-17,SUP-006,Elbe Manufacturing,0.939,WH-008,Dortmund Distribution Center,True,PRD-0004,Mechanical,DE-South,234,standard,delivered,False,1,True,
SHP-000008,ORD-000008,2025-07-26,2025-07-28,2025-08-04,2025-08-04,SUP-011,Saxon Metals,0.611,WH-006,Leipzig Distribution Center,False,PRD-0051,Electronics,DE-East,113,expedited,delivered,False,0,False,
SHP-000009,ORD-000009,2025-02-25,2025-02-28,2025-03-02,2025-02-28,SUP-010,Black Forest Plastics,0.829,WH-007,Stuttgart Distribution Center,True,PRD-0171,Electronics,DE-South,130,standard,delivered,False,-2,False,
SHP-000010,ORD-000010,2025-03-20,2025-03-23,2025-03-26,2025-03-26,SUP-019,Danube Tools,0.652,WH-006,Leipzig Distribution Center,False,PRD-0174,Raw Materials,DE-East,339,standard,delivered,True,0,False,
SHP-000011,ORD-000011,2025-10-04,2025-10-06,2025-10-12,2025-10-12,SUP-022,Black Forest Plastics,0.971,WH-006,Leipzig Distribution Center,False,PRD-0067,Mechanical,DE-South,26,critical,delivered,False,0,False,
SHP-000012,ORD-000012,2025-03-10,2025-03-11,2025-03-14,2025-03-14,SUP-014,Baltic Packaging,0.868,WH-007,Stuttgart Distribution Center,False,PRD-0126,Electronics,DE-East,104,standard,delivered,False,0,False,
SHP-000013,ORD-000013,2025-05-26,2025-05-29,2025-06-09,2025-06-10,SUP-016,Nordic Freight Supplies,0.901,WH-007,Stuttgart Distribution Center,False,PRD-0015,Electronics,DE-West,12,standard,delivered,False,1,True,
SHP-000014,ORD-000014,2025-05-07,2025-05-10,2025-05-18,2025-05-19,SUP-017,Main River Electronics,0.811,WH-006,Leipzig Distribution Center,False,PRD-0110,Raw Materials,DE-East,179,standard,delivered,False,1,True,carrier_delay
SHP-000015,ORD-000015,2025-10-29,2025-10-30,2025-11-10,2025-11-13,SUP-008,Hanseatic Materials,0.604,WH-008,Dortmund Distribution Center,False,PRD-0006,Mechanical,DE-West,172,standard,delivered,False,3,True,carrier_delay
SHP-000016,ORD-000016,2025-08-12,2025-08-15,2025-08-19,2025-08-19,SUP-018,Elbe Manufacturing,0.745,WH-006,Leipzig Distribution Center,False,PRD-0077,Raw Materials,DE-Central,345,expedited,delivered,True,0,False,
SHP-000017,ORD-000017,2025-10-24,2025-10-26,2025-11-01,2025-10-31,SUP-014,Baltic Packaging,0.868,WH-002,Hamburg Distribution Center,False,PRD-0160,Packaging,DE-West,739,standard,delivered,True,-1,False,
SHP-000018,ORD-000018,2025-10-08,2025-10-10,2025-10-16,2025-10-15,SUP-010,Black Forest Plastics,0.829,WH-006,Leipzig Distribution Center,False,PRD-0170,Electronics,DE-East,9,standard,delivered,False,-1,False,
SHP-000019,ORD-000019,2025-10-17,2025-10-20,2025-10-24,2025-10-25,SUP-015,Alpine Industrial Parts,0.925,WH-007,Stuttgart Distribution Center,False,PRD-0158,Raw Materials,DE-East,50,standard,delivered,False,1,True,
SHP-000020,ORD-000020,2025-07-31,2025-08-02,2025-08-13,2025-08-12,SUP-004,Nordic Freight Supplies,0.931,WH-004,Cologne Distribution Center,False,PRD-0017,Textiles,DE-South,156,standard,delivered,False,-1,False,
SHP-000021,ORD-000021,2025-01-19,2025-01-19,2025-01-27,2025-01-27,SUP-019,Danube Tools,0.652,WH-007,Stuttgart Distribution Center,False,PRD-0125,Electronics,DE-East,74,standard,delivered,False,0,False,
SHP-000022,ORD-000022,2025-11-05,2025-11-06,2025-11-15,2025-11-13,SUP-018,Elbe Manufacturing,0.745,WH-006,Leipzig Distribution Center,False,PRD-0022,Electronics,DE-South,21,expedited,delivered,False,-2,False,
SHP-000023,ORD-000023,2025-10-25,2025-10-28,2025-11-01,2025-11-07,SUP-018,Elbe Manufacturing,0.745,WH-002,Hamburg Distribution Center,True,PRD-0147,Textiles,DE-South,278,standard,delivered,False,6,True,warehouse_capacity_constraint
SHP-000024,ORD-000024,2025-03-31,2025-04-01,2025-04-06,2025-04-09,SUP-003,Alpine Industrial Parts,0.922,WH-002,Hamburg Distribution Center,False,PRD-0037,Mechanical,DE-East,150,standard,delivered,False,3,True,inventory_shortage
SHP-000025,ORD-000025,2025-06-07,2025-06-07,2025-06-14,2025-06-13,SUP-018,Elbe Manufacturing,0.745,WH-006,Leipzig Distribution Center,False,PRD-0038,Mechanical,DE-West,320,standard,delivered,False,-1,False,
SHP-000026,ORD-000026,2025-07-18,2025-07-21,2025-07-24,2025-07-23,SUP-003,Alpine Industrial Parts,0.922,WH-008,Dortmund Distribution Center,False,PRD-0061,Electronics,DE-South,105,expedited,delivered,False,-1,False,
SHP-000027,ORD-000027,2025-01-18,2025-01-19,2025-01-28,2025-01-28,SUP-009,Ruhr Mechanical,0.965,WH-007,Stuttgart Distribution Center,False,PRD-0165,Packaging,DE-North,214,expedited,delivered,True,0,False,
