product_id,product_name,category,primary_supplier_id,unit_cost_eur,reorder_point,hazmat_flag
PRD-0001,Cable 0001,Electronics,SUP-011,346.68,97,False
PRD-0002,Gear 0002,Mechanical,SUP-001,74.12,409,False
PRD-0003,Bracket 0003,Mechanical,SUP-004,230.18,360,False
PRD-0004,Bracket 0004,Mechanical,SUP-006,71.74,316,False
PRD-0005,Steel Sheet 0005,Raw Materials,SUP-016,270.93,49,False
PRD-0006,Valve 0006,Mechanical,SUP-008,110.42,330,False
PRD-0007,Sensor 0007,Electronics,SUP-003,330.3,429,False
PRD-0008,Plastic Resin 0008,Raw Materials,SUP-016,60.83,321,False
PRD-0009,Rubber Seal 0009,Raw Materials,SUP-018,434.09,426,False
PRD-0010,Label Roll 0010,Packaging,SUP-022,181.65,372,False
PRD-0011,Gear 0011,Mechanical,SUP-015,405.18,101,False
PRD-0012,Pallet Wrap 0012,Packaging,SUP-001,32.09,341,False
PRD-0013,Plastic Resin 0013,Raw Materials,SUP-001,266.24,76,False
PRD-0014,Controller 0014,Electronics,SUP-002,33.59,209,False
PRD-0015,Controller 0015,Electronics,SUP-016,127.84,149,False
PRD-0016,Plastic Resin 0016,Raw Materials,SUP-019,326.48,335,False
PRD-0017,Cover Sheet 0017,Textiles,SUP-004,88.52,377,False
PRD-0018,Strap 0018,Textiles,SUP-015,192.63,413,False
PRD-0019,Sensor 0019,Electronics,SUP-024,30.56,213,False
PRD-0020,Controller 0020,Electronics,SUP-018,89.04,269,False
PRD-0021,Foam Insert 0021,Packaging,SUP-015,85.43,167,False
PRD-0022,Scanner 0022,Electronics,SUP-018,364.28,90,False
PRD-0023,Sensor 0023,Electronics,SUP-008,436.16,125,False
PRD-0024,Cover Sheet 0024,Textiles,SUP-013,218.43,70,False
PRD-0025,Foam Insert 0025,Packaging,SUP-013,4.46,175,False
PRD-0026,Strap 0026,Textiles,SUP-024,192.37,441,False
PRD-0027,Rubber Seal 0027,Raw Materials,SUP-010,72.62,151,False
PRD-0028,Steel Sheet 0028,Raw Materials,SUP-002,337.47,65,False
PRD-0029,Plastic Resin 0029,Raw Materials,SUP-017,28.9,81,False
PRD-0030,Sensor 0030,Electronics,SUP-008,304.98,246,False
PRD-0031,Controller 0031,Electronics,SUP-002,261.99,357,False
PRD-0032,Scanner 0032,Electronics,SUP-019,297.02,307,False
PRD-0033,Valve 0033,Mechanical,SUP-023,94.7,200,False
PRD-0034,Label Roll 0034,Packaging,SUP-022,180.22,370,False
PRD-0035,Gear 0035,Mechanical,SUP-003,144.67,44,False
PRD-0036,Work Gloves 0036,Textiles,SUP-007,36.21,299,False
PRD-0037,Bracket 0037,Mechanical,SUP-003,420.2,165,False
PRD-0038,Valve 0038,Mechanical,SUP-018,73.93,400,False
PRD-0039,Bearing 0039,Mechanical,SUP-018,301.7,193,False
PRD-0040,Controller 0040,Electronics,SUP-004,121.58,420,False
PRD-0041,Plastic Resin 0041,Raw Materials,SUP-020,125.1,147,False
PRD-0042,Label Roll 0042,Packaging,SUP-009,229.17,66,False
PRD-0043,Scanner 0043,Electronics,SUP-002,373.8,41,False
PRD-0044,Bracket 0044,Mechanical,SUP-009,287.97,122,False
PRD-0045,Cover Sheet 0045,Textiles,SUP-004,253.94,78,False
PRD-0046,Carton 0046,Packaging,SUP-019,376.15,322,False
PRD-0047,Foam Insert 0047,Packaging,SUP-010,60.4,226,False
PRD-0048,Cable 0048,Electronics,SUP-008,97.3,381,False
PRD-0049,Cable 0049,Electronics,SUP-014,351.82,357,False
PRD-0050,Pallet Wrap 0050,Packaging,SUP-006,389.55,251,False
PRD-0051,Controller 0051,Electronics,SUP-011,332.38,440,False
PRD-0052,Safety Vest 0052,Textiles,SUP-023,122.63,95,False
PRD-0053,Work Gloves 0053,Textiles,SUP-008,386.86,142,False
PRD-0054,Strap 0054,Textiles,SUP-008,139.77,154,False
PRD-0055,Controller 0055,Electronics,SUP-009,181.42,75,False
PRD-0056,Valve 0056,Mechanical,SUP-013,289.92,387,False
PRD-0057,Aluminium Rod 0057,Raw Materials,SUP-004,422.87,173,False
