inventory_id,product_id,warehouse_id,on_hand_units,reserved_units,reorder_point,last_stock_count_date
INV-PRD-0001-WH-001,PRD-0001,WH-001,174,47,97,2026-01-01
INV-PRD-0001-WH-002,PRD-0001,WH-002,214,45,97,2025-12-15
INV-PRD-0001-WH-003,PRD-0001,WH-003,225,17,97,2026-01-10
INV-PRD-0001-WH-004,PRD-0001,WH-004,80,20,97,2025-12-03
INV-PRD-0001-WH-005,PRD-0001,WH-005,114,37,97,2025-12-24
INV-PRD-0001-WH-006,PRD-0001,WH-006,134,20,97,2026-01-17
INV-PRD-0001-WH-007,PRD-0001,WH-007,130,34,97,2026-01-26
INV-PRD-0001-WH-008,PRD-0001,WH-008,353,116,97,2025-12-18
INV-PRD-0002-WH-001,PRD-0002,WH-001,1395,412,409,2025-12-19
INV-PRD-0002-WH-002,PRD-0002,WH-002,644,119,409,2026-01-31
INV-PRD-0002-WH-003,PRD-0002,WH-003,386,57,409,2026-01-25
INV-PRD-0002-WH-004,PRD-0002,WH-004,2036,570,409,2025-12-24
INV-PRD-0002-WH-005,PRD-0002,WH-005,202,1,409,2025-12-17
INV-PRD-0002-WH-006,PRD-0002,WH-006,1163,344,409,2026-01-17
INV-PRD-0002-WH-007,PRD-0002,WH-007,1189,326,409,2026-01-30
INV-PRD-0002-WH-008,PRD-0002,WH-008,1366,241,409,2025-12-02
INV-PRD-0003-WH-001,PRD-0003,WH-001,1031,312,360,2025-12-15
INV-PRD-0003-WH-002,PRD-0003,WH-002,2261,717,360,2025-12-20
INV-PRD-0003-WH-003,PRD-0003,WH-003,431,11,360,2026-01-30
INV-PRD-0003-WH-004,PRD-0003,WH-004,252,14,360,2025-12-07
INV-PRD-0003-WH-005,PRD-0003,WH-005,637,99,360,2025-12-30
INV-PRD-0003-WH-006,PRD-0003,WH-006,2076,601,360,2026-01-17
INV-PRD-0003-WH-007,PRD-0003,WH-007,1701,101,360,2026-01-23
INV-PRD-0003-WH-008,PRD-0003,WH-008,932,16,360,2026-01-14
INV-PRD-0004-WH-001,PRD-0004,WH-001,1226,120,316,2026-01-24
INV-PRD-0004-WH-002,PRD-0004,WH-002,1068,278,316,2026-01-27
INV-PRD-0004-WH-003,PRD-0004,WH-003,378,101,316,2025-12-18
INV-PRD-0004-WH-004,PRD-0004,WH-004,548,23,316,2026-01-12
INV-PRD-0004-WH-005,PRD-0004,WH-005,1538,21,316,2025-12-04
INV-PRD-0004-WH-006,PRD-0004,WH-006,444,144,316,2025-12-14
INV-PRD-0004-WH-007,PRD-0004,WH-007,283,26,316,2026-01-07
INV-PRD-0004-WH-008,PRD-0004,WH-008,652,198,316,2025-12-10
INV-PRD-0005-WH-001,PRD-0005,WH-001,49,8,49,2026-01-24
INV-PRD-0005-WH-002,PRD-0005,WH-002,118,16,49,2026-01-21
INV-PRD-0005-WH-003,PRD-0005,WH-003,62,4,49,2025-12-01
INV-PRD-0005-WH-004,PRD-0005,WH-004,124,20,49,2025-12-02
INV-PRD-0005-WH-005,PRD-0005,WH-005,57,13,49,2026-01-03
INV-PRD-0005-WH-006,PRD-0005,WH-006,4,1,49,2025-12-29
INV-PRD-0005-WH-007,PRD-0005,WH-007,200,13,49,2025-12-29
INV-PRD-0005-WH-008,PRD-0005,WH-008,60,21,49,2026-01-03
INV-PRD-0006-WH-001,PRD-0006,WH-001,2304,31,330,2025-12-04
INV-PRD-0006-WH-002,PRD-0006,WH-002,1203,351,330,2025-12-07
INV-PRD-0006-WH-003,PRD-0006,WH-003,480,20,330,2025-12-21
INV-PRD-0006-WH-004,PRD-0006,WH-004,394,70,330,2026-01-09
INV-PRD-0006-WH-005,PRD-0006,WH-005,1788,332,330,2025-12-25
INV-PRD-0006-WH-006,PRD-0006,WH-006,933,232,330,2026-01-02
INV-PRD-0006-WH-007,PRD-0006,WH-007,388,55,330,2025-12-28
INV-PRD-0006-WH-008,PRD-0006,WH-008,753,173,330,2026-01-22
INV-PRD-0007-WH-001,PRD-0007,WH-001,1923,97,429,2025-12-21
INV-PRD-0007-WH-002,PRD-0007,WH-002,1473,383,429,2026-01-31
INV-PRD-0007-WH-003,PRD-0007,WH-003,566,23,429,2026-01-23
INV-PRD-0007-WH-004,PRD-0007,WH-004,221,12,429,2026-01-17
INV-PRD-0007-WH-005,PRD-0007,WH-005,998,30,429,2026-01-07
INV-PRD-0007-WH-006,PRD-0007,WH-006,1779,125,429,2025-12-27
INV-PRD-0007-WH-007,PRD-0007,WH-007,2161,738,429,2025-12-04
INV-PRD-0007-WH-008,PRD-0007,WH-008,1708,360,429,2025-12-07
INV-PRD-0008-WH-001,PRD-0008,WH-001,479,123,321,2025-12-15
INV-PRD-0008-WH-002,PRD-0008,WH-002,1186,284,321,2025-12-24
INV-PRD-0008-WH-003,PRD-0008,WH-003,142,36,321,2025-12-15
INV-PRD-0008-WH-004,PRD-0008,WH-004,1892,636,321,2026-01-09
INV-PRD-0008-WH-005,PRD-0008,WH-005,374,68,321,2025-12-02
INV-PRD-0008-WH-006,PRD-0008,WH-006,1882,316,321,2026-01-28
INV-PRD-0008-WH-007,PRD-0008,WH-007,413,36,321,2026-01-06
INV-PRD-0008-WH-008,PRD-0008,WH-008,393,7,321,2025-12-06
INV-PRD-0009-WH-001,PRD-0009,WH-001,811,214,426,2025-12-30
INV-PRD-0009-WH-002,PRD-0009,WH-002,1064,369,426,2025-12-21
INV-PRD-0009-WH-003,PRD-0009,WH-003,773,26,426,2025-12-10
INV-PRD-0009-WH-004,PRD-0009,WH-004,629,172,426,2025-12-06
INV-PRD-0009-WH-005,PRD-0009,WH-005,2162,497,426,2026-01-08
INV-PRD-0009-WH-006,PRD-0009,WH-006,867,262,426,2025-12-08
INV-PRD-0009-WH-007,PRD-0009,WH-007,571,173,426,2026-01-13
INV-PRD-0009-WH-008,PRD-0009,WH-008,1689,46,426,2025-12-15
INV-PRD-0010-WH-001,PRD-0010,WH-001,484,1,372,2025-12-14
INV-PRD-0010-WH-002,PRD-0010,WH-002,512,65,372,2025-12-19
INV-PRD-0010-WH-003,PRD-0010,WH-003,626,191,372,2025-12-28
INV-PRD-0010-WH-004,PRD-0010,WH-004,1462,235,372,2026-01-02
INV-PRD-0010-WH-005,PRD-0010,WH-005,1822,73,372,2025-12-26
INV-PRD-0010-WH-006,PRD-0010,WH-006,595,4,372,2025-12-30
INV-PRD-0010-WH-007,PRD-0010,WH-007,1251,293,372,2025-12-26
INV-PRD-0010-WH-008,PRD-0010,WH-008,964,58,372,2025-12-26
INV-PRD-0011-WH-001,PRD-0011,WH-001,41,2,101,2026-01-21
INV-PRD-0011-WH-002,PRD-0011,WH-002,454,92,101,2025-12-06
INV-PRD-0011-WH-003,PRD-0011,WH-003,132,27,101,2026-01-07
INV-PRD-0011-WH-004,PRD-0011,WH-004,151,19,101,2026-01-17
INV-PRD-0011-WH-005,PRD-0011,WH-005,187,9,101,2026-01-02
INV-PRD-0011-WH-006,PRD-0011,WH-006,362,24,101,2026-01-27
INV-PRD-0011-WH-007,PRD-0011,WH-007,176,15,101,2025-12-07
INV-PRD-0011-WH-008,PRD-0011,WH-008,145,38,101,2025-12-10
INV-PRD-0012-WH-001,PRD-0012,WH-001,495,45,341,2026-01-30
INV-PRD-0012-WH-002,PRD-0012,WH-002,1291,386,341,2026-01-06
INV-PRD-0012-WH-003,PRD-0012,WH-003,1497,330,341,2026-01-25
INV-PRD-0012-WH-004,PRD-0012,WH-004,650,112,341,2025-12-05
INV-PRD-0012-WH-005,PRD-0012,WH-005,961,140,341,2026-01-07
INV-PRD-0012-WH-006,PRD-0012,WH-006,259,9,341,2025-12-20
INV-PRD-0012-WH-007,PRD-0012,WH-007,370,94,341,2026-01-23
INV-PRD-0012-WH-008,PRD-0012,WH-008,2110,92,341,2026-01-09
INV-PRD-0013-WH-001,PRD-0013,WH-001,312,74,76,2026-01-05
INV-PRD-0013-WH-002,PRD-0013,WH-002,97,28,76,2026-01-28
INV-PRD-0013-WH-003,PRD-0013,WH-003,172,20,76,2026-01-08
INV-PRD-0013-WH-004,PRD-0013,WH-004,91,28,76,2025-12-07
