feature,importance
numerical__order_value_eur,0.12095869573049654
numerical__order_quantity,0.10960137996529805
numerical__supplier_historical_delay_rate,0.08919122597487938
numerical__reliability_score,0.07890337793996047
numerical__order_month,0.07121460227459712
numerical__stockout_risk_flag,0.06413040633184659
numerical__warehouse_historical_delay_rate,0.05063447372691083
numerical__warehouse_overload_flag,0.050324176795189496
numerical__category_historical_delay_rate,0.03312103750500472
categorical__reliability_band_low,0.02062568455458984
categorical__reliability_band_high,0.020253651291790808
categorical__customer_region_DE-East,0.013619663873031247
categorical__category_Mechanical,0.013463639400032139
categorical__customer_region_DE-South,0.01319381580243017
categorical__customer_region_DE-West,0.013048063498209085
categorical__priority_expedited,0.011867308402645714
categorical__priority_standard,0.01133993335002012
categorical__category_Raw Materials,0.011028572842622262
categorical__customer_region_DE-North,0.010833219021243772
categorical__customer_region_DE-Central,0.010617083506483648
categorical__category_Electronics,0.010533022559601873
categorical__warehouse_id_WH-001,0.009506520741965742
categorical__overload_risk_band_low,0.009393846861284395
categorical__reliability_band_medium,0.009247567851482483
categorical__overload_risk_band_medium,0.0087143294101375
categorical__category_Packaging,0.007990822983246599
categorical__supplier_id_SUP-011,0.00785814156159749
categorical__category_Textiles,0.007508479537707071
categorical__warehouse_id_WH-002,0.007464820075230358
categorical__warehouse_id_WH-003,0.007225129839663751
categorical__warehouse_id_WH-004,0.0071971090246295225
categorical__warehouse_id_WH-007,0.006497440747111676
categorical__warehouse_id_WH-008,0.006445439504607759
categorical__supplier_id_SUP-008,0.006108769545353912
categorical__warehouse_id_WH-006,0.005497585637257222
categorical__warehouse_id_WH-005,0.0054539865206935535
categorical__supplier_id_SUP-018,0.004762863158588085
categorical__supplier_id_SUP-015,0.00472004766769246
categorical__supplier_id_SUP-019,0.004214317704272129
categorical__supplier_id_SUP-004,0.004206253361483087
categorical__supplier_id_SUP-016,0.004093029276840034
categorical__supplier_id_SUP-014,0.0030403229890816003
categorical__supplier_id_SUP-001,0.0029067123565461998
categorical__supplier_id_SUP-010,0.002713925620525366
categorical__supplier_id_SUP-013,0.0027128133898552103
categorical__priority_critical,0.002699691190148741
categorical__supplier_id_SUP-006,0.0026185875509195447
categorical__supplier_id_SUP-022,0.002420233713661533
categorical__supplier_id_SUP-023,0.002360262097239128
categorical__supplier_id_SUP-024,0.002305410251511406
categorical__supplier_id_SUP-020,0.002235323363607257
categorical__supplier_id_SUP-017,0.0020944632420125298
categorical__supplier_id_SUP-007,0.0020619896208408815
categorical__supplier_id_SUP-002,0.0017466995676933556
categorical__supplier_id_SUP-009,0.0017008775506203203
categorical__supplier_id_SUP-012,0.0015591591994737531
categorical__supplier_id_SUP-003,0.0012063053216738086
categorical__supplier_id_SUP-005,0.0006274395551375245
categorical__supplier_id_SUP-021,0.00038024806172306397
